
Palette: 125
kelpColor: 0.1, 0.9, 0.7
scavMainTradeItem: Lantern
Room_Attr: FT_F05: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F06: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F07: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F08: PinkLizard-Avoid,GreenLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F09: GreenLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F10: GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F11: GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F12: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Forbidden,Salamander-Like,CyanLizard-Forbidden,Snail-Like,CicadaA-Forbidden,CicadaB-Forbidden,BigEel-Like,BigSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F13: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,Snail-Like,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F14: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigSpider-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F17: Blizzor-Stay,
Room_Attr: FT_F20: GreenLizard-Forbidden,
Room_Attr: FT_F22: Vulture-Like,
Room_Attr: FT_F28: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F29: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F30: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F31: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F37: Blizzor-Stay,
Room_Attr: FT_F38: GreenLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F39: GreenLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F40: GreenLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F41: GreenLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F42: GreenLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F43: GreenLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F44: Blizzor-Stay,
Room_Attr: FT_F17W: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,Gecko-Forbidden,MaracaSpider-Forbidden,BabyCroaker-Forbidden,SilverLizard-Forbidden,ThornBug-Forbidden,NoodleEater-Forbidden,SurfaceSwimmer-Forbidden,Scutigera-Forbidden,RedHorrorCenti-Forbidden,Polliwog-Forbidden,MiniLeviathan-Forbidden,Hoverfly-Forbidden,FatFireFly-Forbidden,BouncingBall-Forbidden,Sporantula-Forbidden,WaterSpitter-Forbidden,WaterBlob-Forbidden,HunterSeeker-Forbidden,FlyingBigEel-Forbidden,MiniFlyingBigEel-Forbidden,HazerMom-Forbidden,TintedBeetle-Forbidden,Blizzor-Forbidden,MoleSalamander-Forbidden,MiniBlackLeech-Forbidden,Denture-Forbidden,CommonEel-Forbidden,DivingBeetle-Forbidden,Killerpillar-Forbidden,Glowpillar-Forbidden,ChipChop-Forbidden,MiniScutigera-Forbidden,Xylo-Forbidden,XyloWorm-Forbidden,SparkEye-Forbidden,ScavengerSentinel-Forbidden,AlphaOrange-Forbidden,MamaBug-Forbidden,Tailfly-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,SlugNPC-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,DrillCrab-Forbidden,TowerCrab-Forbidden,Barnacle-Forbidden,SandGrub-Forbidden,BigSandGrub-Forbidden,BigMoth-Forbidden,SmallMoth-Forbidden,BoxWorm-Forbidden,FireSprite-Forbidden,Rattler-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,Loach-Forbidden,RotLoach-Forbidden,BlizzardLizard-Forbidden,BasiliskLizard-Forbidden,IndigoLizard-Forbidden,PeachLizard-Forbidden,Rat-Forbidden,Frog-Forbidden,Tardigrade-Forbidden,GrappleSnake-Forbidden,Millipede-Forbidden,Angler-Forbidden,RippleSpider-Forbidden,MothGrub-Forbidden,FogVulture-Forbidden,Mosquito-Forbidden,ExplodingMosquito-Forbidden,AngryMosquito-Forbidden,
Room_Attr: FT_F18W: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,Gecko-Forbidden,MaracaSpider-Forbidden,BabyCroaker-Forbidden,SilverLizard-Forbidden,ThornBug-Forbidden,NoodleEater-Forbidden,SurfaceSwimmer-Forbidden,Scutigera-Forbidden,RedHorrorCenti-Forbidden,Polliwog-Forbidden,MiniLeviathan-Forbidden,Hoverfly-Forbidden,FatFireFly-Forbidden,BouncingBall-Forbidden,Sporantula-Forbidden,WaterSpitter-Forbidden,WaterBlob-Forbidden,HunterSeeker-Forbidden,FlyingBigEel-Forbidden,MiniFlyingBigEel-Forbidden,HazerMom-Forbidden,TintedBeetle-Forbidden,Blizzor-Forbidden,MoleSalamander-Forbidden,MiniBlackLeech-Forbidden,Denture-Forbidden,CommonEel-Forbidden,DivingBeetle-Forbidden,Killerpillar-Forbidden,Glowpillar-Forbidden,ChipChop-Forbidden,MiniScutigera-Forbidden,Xylo-Forbidden,XyloWorm-Forbidden,SparkEye-Forbidden,ScavengerSentinel-Forbidden,AlphaOrange-Forbidden,MamaBug-Forbidden,Tailfly-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,SlugNPC-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,DrillCrab-Forbidden,TowerCrab-Forbidden,Barnacle-Forbidden,SandGrub-Forbidden,BigSandGrub-Forbidden,BigMoth-Forbidden,SmallMoth-Forbidden,BoxWorm-Forbidden,FireSprite-Forbidden,Rattler-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,Loach-Forbidden,RotLoach-Forbidden,BlizzardLizard-Forbidden,BasiliskLizard-Forbidden,IndigoLizard-Forbidden,PeachLizard-Forbidden,Rat-Forbidden,Frog-Forbidden,Tardigrade-Forbidden,GrappleSnake-Forbidden,Millipede-Forbidden,Angler-Forbidden,RippleSpider-Forbidden,MothGrub-Forbidden,FogVulture-Forbidden,Mosquito-Forbidden,ExplodingMosquito-Forbidden,AngryMosquito-Forbidden,
Room_Attr: FT_F42W: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,Gecko-Forbidden,MaracaSpider-Forbidden,BabyCroaker-Forbidden,SilverLizard-Forbidden,ThornBug-Forbidden,NoodleEater-Forbidden,SurfaceSwimmer-Forbidden,Scutigera-Forbidden,RedHorrorCenti-Forbidden,Polliwog-Forbidden,MiniLeviathan-Forbidden,Hoverfly-Forbidden,FatFireFly-Forbidden,BouncingBall-Forbidden,Sporantula-Forbidden,WaterSpitter-Forbidden,WaterBlob-Forbidden,HunterSeeker-Forbidden,FlyingBigEel-Forbidden,MiniFlyingBigEel-Forbidden,HazerMom-Forbidden,TintedBeetle-Forbidden,Blizzor-Forbidden,MoleSalamander-Forbidden,MiniBlackLeech-Forbidden,Denture-Forbidden,CommonEel-Forbidden,DivingBeetle-Forbidden,Killerpillar-Forbidden,Glowpillar-Forbidden,ChipChop-Forbidden,MiniScutigera-Forbidden,Xylo-Forbidden,XyloWorm-Forbidden,SparkEye-Forbidden,ScavengerSentinel-Forbidden,AlphaOrange-Forbidden,MamaBug-Forbidden,Tailfly-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,SlugNPC-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,DrillCrab-Forbidden,TowerCrab-Forbidden,Barnacle-Forbidden,SandGrub-Forbidden,BigSandGrub-Forbidden,BigMoth-Forbidden,SmallMoth-Forbidden,BoxWorm-Forbidden,FireSprite-Forbidden,Rattler-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,Loach-Forbidden,RotLoach-Forbidden,BlizzardLizard-Forbidden,BasiliskLizard-Forbidden,IndigoLizard-Forbidden,PeachLizard-Forbidden,Rat-Forbidden,Frog-Forbidden,Tardigrade-Forbidden,GrappleSnake-Forbidden,Millipede-Forbidden,Angler-Forbidden,RippleSpider-Forbidden,MothGrub-Forbidden,FogVulture-Forbidden,Mosquito-Forbidden,ExplodingMosquito-Forbidden,AngryMosquito-Forbidden,
Room_Attr: FT_F43W: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,Gecko-Forbidden,MaracaSpider-Forbidden,BabyCroaker-Forbidden,SilverLizard-Forbidden,ThornBug-Forbidden,NoodleEater-Forbidden,SurfaceSwimmer-Forbidden,Scutigera-Forbidden,RedHorrorCenti-Forbidden,Polliwog-Forbidden,MiniLeviathan-Forbidden,Hoverfly-Forbidden,FatFireFly-Forbidden,BouncingBall-Forbidden,Sporantula-Forbidden,WaterSpitter-Forbidden,WaterBlob-Forbidden,HunterSeeker-Forbidden,FlyingBigEel-Forbidden,MiniFlyingBigEel-Forbidden,HazerMom-Forbidden,TintedBeetle-Forbidden,Blizzor-Forbidden,MoleSalamander-Forbidden,MiniBlackLeech-Forbidden,Denture-Forbidden,CommonEel-Forbidden,DivingBeetle-Forbidden,Killerpillar-Forbidden,Glowpillar-Forbidden,ChipChop-Forbidden,MiniScutigera-Forbidden,Xylo-Forbidden,XyloWorm-Forbidden,SparkEye-Forbidden,ScavengerSentinel-Forbidden,AlphaOrange-Forbidden,MamaBug-Forbidden,Tailfly-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,SlugNPC-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,DrillCrab-Forbidden,TowerCrab-Forbidden,Barnacle-Forbidden,SandGrub-Forbidden,BigSandGrub-Forbidden,BigMoth-Forbidden,SmallMoth-Forbidden,BoxWorm-Forbidden,FireSprite-Forbidden,Rattler-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,Loach-Forbidden,RotLoach-Forbidden,BlizzardLizard-Forbidden,BasiliskLizard-Forbidden,IndigoLizard-Forbidden,PeachLizard-Forbidden,Rat-Forbidden,Frog-Forbidden,Tardigrade-Forbidden,GrappleSnake-Forbidden,Millipede-Forbidden,Angler-Forbidden,RippleSpider-Forbidden,MothGrub-Forbidden,FogVulture-Forbidden,Mosquito-Forbidden,ExplodingMosquito-Forbidden,AngryMosquito-Forbidden,
Room_Attr: FT_R21W: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,Gecko-Forbidden,MaracaSpider-Forbidden,BabyCroaker-Forbidden,SilverLizard-Forbidden,ThornBug-Forbidden,NoodleEater-Forbidden,SurfaceSwimmer-Forbidden,Scutigera-Forbidden,RedHorrorCenti-Forbidden,Polliwog-Forbidden,MiniLeviathan-Forbidden,Hoverfly-Forbidden,FatFireFly-Forbidden,BouncingBall-Forbidden,Sporantula-Forbidden,WaterSpitter-Forbidden,WaterBlob-Forbidden,HunterSeeker-Forbidden,FlyingBigEel-Forbidden,MiniFlyingBigEel-Forbidden,HazerMom-Forbidden,TintedBeetle-Forbidden,Blizzor-Forbidden,MoleSalamander-Forbidden,MiniBlackLeech-Forbidden,Denture-Forbidden,CommonEel-Forbidden,DivingBeetle-Forbidden,Killerpillar-Forbidden,Glowpillar-Forbidden,ChipChop-Forbidden,MiniScutigera-Forbidden,Xylo-Forbidden,XyloWorm-Forbidden,SparkEye-Forbidden,ScavengerSentinel-Forbidden,AlphaOrange-Forbidden,MamaBug-Forbidden,Tailfly-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,SlugNPC-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,DrillCrab-Forbidden,TowerCrab-Forbidden,Barnacle-Forbidden,SandGrub-Forbidden,BigSandGrub-Forbidden,BigMoth-Forbidden,SmallMoth-Forbidden,BoxWorm-Forbidden,FireSprite-Forbidden,Rattler-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,Loach-Forbidden,RotLoach-Forbidden,BlizzardLizard-Forbidden,BasiliskLizard-Forbidden,IndigoLizard-Forbidden,PeachLizard-Forbidden,Rat-Forbidden,Frog-Forbidden,Tardigrade-Forbidden,GrappleSnake-Forbidden,Millipede-Forbidden,Angler-Forbidden,RippleSpider-Forbidden,MothGrub-Forbidden,FogVulture-Forbidden,Mosquito-Forbidden,ExplodingMosquito-Forbidden,AngryMosquito-Forbidden,
Room_Attr: FT_L01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,Salamander-Avoid,CyanLizard-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,BigSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Avoid,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigEel-Stay,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L04: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigEel-Stay,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L05: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L06: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L07: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
